 Chosen one!, ¡Elegida!
"Once again you return without the GECK. Our crops begin to fail us, Chosen. Our
 need becomes greater with the passage of time. Go find the holy Thirteen!","Una vez más vuelves sin el GECK. Nuestras cosechas se están echando a perder, Elegida. Nuestra necesidad se vuelve mayor con el paso del tiempo. ¡Ve a buscar el sagrado Trece!"
"One beer it is. That'll be $3, plus a $1 tip for me. That's $4, kiddo.","Una cerveza, aquí está. Serán 3 dólares, más 1 de propina para mí. Eso hacen 4 dólares, chavalita."
"One ex-gaijin, coming up!",¡Viene una antigua gaijin!
"One of your hands is very dominant.  You excel with single-handed weapons, but two-handed weapons cause a problem.","Una de tus manos es muy dominante. Eres una maestra con armas de una sola mano, pero las armas de dos manos te suponen un problema."
Only a worm like you would try for a gut-wound.,Sólo una gusanaza como tú intentaría hacer una herida en las tripas.
Ook? What do you mean by that? Are you dumb?,¿Ook? ¿Qué quieres decir con eso? ¿Es que eres tonta?
"Ooogly ann? Huh? You're just as dumb as that idiot Torr. That's good, we need a new fricking
 village idiot in town. We've just about used that Torr up.","¿Túuu feooo? ¿Qué? Eres tan tonta como el idiota de Torr. Eso es bueno, necesitamos un nuevo tonto en el pueblo. Ya estábamos aburridos de Torr."
Oooo? Bye bye.,¿Parada? Adiós.
"Ooooooh, I'm scared. Thanks for the Day Pass, pal.","Ooooooh, estoy asustada. Gracias por el pase de día, amigo."
Oops. I guess I am a bit light right now. Let me ask you something else.,Oh. Supongo que estoy un poco corta de dinero ahora mismo. Déjeme preguntarle otra cosa.
"Our life is in your hands, Chosen One.","Nuestra vida está en tus manos, Elegida."
"Our prayers are with you, Chosen One.","Nuestras oraciones están contigo, Elegida."
POISONED,ENVENENADA
"Pal, I've got no idea what you're trying to say. Sorry.","Amiga, no tengo ni idea de lo que estás intentando decir. Lo siento."
"Pal, the more I talk to you, the dumber I feel myself becoming. With an attitude like that, you
 won't be too welcome in Broken Hills. Excuse me. I have a job to do.","Amiga, cuanto más hablo contigo, más tonto me siento. Con esa actitud, no serás bienvenida en Broken Hills. Discúlpame. Tengo trabajo que hacer."
"Pal, you're not wanted here. You've done enough damage.","Amiga, no te queremos aquí. Ya has hecho suficiente daño."
Pathetic.,Patética.
Pathfinder,Pionera
"Perceptive as well as smart. I knew I wouldn't be able to pull anything on you. The catch is
 that for every brahmin you let get killed, I charge you $100. I pay well for success and I also charge
 for failure. That's the risk you take working for me.","Tan lista como perspicaz. Sabía que no podría ocultártelo. El truco es que por cada brahmin que muera, te voy a descontar 100 dólares. Te pagaré bien si tienes éxito, pero sino serás tú quien me pague a mí. Ese es el riesgo por trabajar para mí."
"Permission to speak freely, sir.","Permiso para hablar libremente, señora."
Pickpocket,Cleptómana
"Piss off, retard. I ain't got time to do sign language with you.","Vete a hacer puñetas, retrasada. No tengo tiempo de hablar con signos contigo."
Play it smart - leave before we have to get rough.,Sé lista y vete antes que te pongamos las cosas difíciles.
"Please help me, sir.","Por favor, ayúdeme, señora."
"Please stay for dinner, Citizen. Our Servant is making a delicious goulash.","Por favor, quédate a cenar, Ciudadana. Nuestro siervo está haciendo un delicioso gulash."
Pleased to meet you. So...about my offer...?,Encantada de conocerte. Y... ¿sobre mi oferta...?
Plunder!,¡Destripadla!
Poisoned,Envenenada
"Poor child. Already aligned, yet unable to articulate. Go on in.","Pobre muchacha. Ya alineada, pero aún incapaz de articular palabra. Entra."
"Powerful drink, lad! That's $5, plus a $1 tip for me, which makes it $6.","¡Bebida potente, chavala! Son 5 dólares, más 1 de propina para mí, lo que suman 6."
Prepare to be dishonored.,Prepárate a ser deshonrada.
"Primitive, eh? You. Questions? Ask me. Okay?","Primitiva, ¿eh? Tú. ¿Preguntas? Pregúntame. ¿Vale?"
Protect the Chosen One from the Spammer's idiocies!,¡Proteged a la Elegida de las idioteces del Spammer!
"Psst, straighten up, the boss's looking.","Psst, ponte derecha, el jefe está mirando."
Psycho Reliance,Adicta al psico
"Put that weapon away, pal.","Guarda ese arma, socia."
Put that weapon away.,Guarda ese arma.
"Put your weapons away, partner. You won't get any answers from me while you're waving them
 around like that.","Guarda tus armas, compañera. No obtendrás respuestas de mí mientras las muestres de esa forma."
Pyromaniac,Pirómana
RADIATED,IRRADIADA
Radaway Addiction,Adicta al Rad-Away
Radiated,Irradiada
Raul thinks you must be nuts walking around here out of uniform.,Raúl cree que estás loca yendo por aquí sin uniforme.
"Raul's going to put you in med lab, man.","Raúl te va a mandar a la enfermería, amiga."
Re-tar-dead! Pooooo!,Retra-dada! ¡Daaaaa!
"Ready to go when you are, Boss.","Listo cuanto tu lo estés, Jefa."
Ready to go?,¿Lista para continuar?
Ready to rumble?,¿Preparada para la juerga?
Ready what?,¿Preparada qué?
Real humans? What are you talking about? I'm as human as you are.,¿Auténticos humanos? ¿De qué demonios estás hablando? Yo soy tan humana como tú.
Really? That's amazing. I may have to go out there sometime and see for myself. Bye.,¿En serio? Eso es asombroso. Puede que tenga que ir por allí en algún momento y verlo por mí misma. Adiós.
"Reasonable? Reasonable! Well, I'm sure people said the Master was reasonable, too. What a bonehead. Get the hell out. Now!","¿Razonables? ¡Razonables! Bueno, seguro que la gente también decía que el Maestro era razonable. Menuda estúpida. Lárgate. ¡Ahora!"
Red mutant!,¡Mutante roja!
"Relax, pal; it's just what we call the beer here. (chuckles) This is the Golden Gecko, remember?","Relájate, amiga; es que aquí a la cerveza la llamamos así (se ríe). Esto es el Gecko Dorado, ¿recuerdas?"
"Rest in peace, Chosen One.","Descansa en paz, Elegida."
"Retracting weapon, master.","Retirando armas, ama."
"Right - obey the giant, man. It the way things are supposed to be. What should I do, giant?","Vale: obedecer al gigante, amiga. Es como se supone que deben ser las cosas. ¿Qué debo hacer, gigante?"
Right Boss. I'll hang way back.,Cierto Jefa. Me retrasaré un poco.
"Right, sure man.","Claro, por supuesto, amiga."
"Right. (shakes head) Lord, you're dumber than Hoss ever was! (sigh) There's the door.","Ya, claro (mueve la cabeza). Dios, eres más tonta incluso de lo que dijo Hoss! (suspira) Ahí está la puerta."
"Right. I'll stay here until you come back, Boss. You will come back, right?","De acuerdo. Me quedaré aquí hasta que vuelvas, Jefa. Porque vas a volver, ¿verdad?"
"Ripped my fucking leg open, you bastard!","¡Me has destrozado la pierna, puta!"
Run from the Evil One!,¡Huid de La Maligna!
"Run, it's a slaver! Ah, I crack m'self up.","¡Corred, es una esclavista! Ah, me parto."
Salesman,Vendedora
"Save the world, and Jagged Jimmy'll GIVES you the world, hero. All the Jet you need.","Salvas al mundo, y el Jeta Jimmy te ENTREGARÁ el mundo, heroína. Todo el Jet que quieras."
Savior of the Damned,Salvadora de los Condenados
"Say, you're the one who got Jack to give up, ain't you? That was good work. So what do you want?","Oye, tú eres la que hizo renunciar a Jack, ¿verdad? Ese fue un buen trabajo. ¿Qué quieres?"
Scout,Rastreadora
"Scramble, boys, we got an intruder!","¡Dispersaos, chicos, tenemos una intrusa!"
Screw you! You're not my boss. You're not the boss of me. I'm the fucking boss of ,¡Que te jodan! No eres mi jefe. Yo soy la puñetera jefa de 
Scrounger,Gorrona
"Security, please remove our ""guest"".","Seguridad: por favor, ocupaos de nuestra ""invitada""."
"See I only take from the cars I ain't paid to watch. He thinks I'm jacking my customers, but I don't do that. Man, I got to quit talking. I'm like seeing things...oh, man, the glow. It's all about glowing.","Verás, sólo me guardo cosas de los coches que no me pagan por vigilar. Él cree que estoy timando a mis clientes, pero yo no hago eso. Amiga, tengo que dejar de hablar. Me gusta ver las cosas... oh, amiga, el resplandor. Todo resplandece."
"See, Boss! You can teach an old dog new tricks!","¡Mira, Jefa! ¡Se le puede enseñar a un perro viejo nuevos trucos!"
Seek a reflection of yourself. The pathway will open before you.,Busca un reflejo de ti misma. La senda se abrirá ante ti.
Selfish bastard. I'll bet Chip would've helped you.,Zorra egoísta. Apostaría a que Chip tu hubiera ayudado.
Sergeant Stark... sir. Did you need something?,Sargento Stark... señora. ¿Necesitaba algo?
"Several years after buying the Excavator Chip from the Chosen One, Marge LeBarge was able to purchase and control both the Morningstar and the newly opened Kokoweef mines.","Varios años después de haber comprado el chip de excavación a la Elegida, Marge LeBarge pudo adquirir y controlar tanto la mina Morningstar como la, de nuevo abierta, mina Kokoweef."
"Several years after the Chosen one sold the Excavator Chip to Dangerous Dan McGrew, Dan used the superior production of his Morningstar Mine to buy the Kokoweef mine and then to reopen the Great Wanamingo Mine.","Varios años después de que la Elegida vendiera el chip de excavación a Dañino Dan McGrew, Dan usa la superior producción de su mina Morningstar para adquirir la mina Kokoweef y a continuación reabrir la gran mina Wanamingo."
Sharpshooter,Tiradora
Shit. You called my bluff.,Mierda. Me has llamado faroleadora.
Shit...this tribal hits like the Masticator...,Mierda... esta tribal golpea como el Masticador...
"Simple. They wouldn't BELIEVE you. You're an Outsider, I'm a Citizen. Guess whose word they're going to believe?","Sencillo. No te CREERÍAN. Eres una forastera, yo soy Ciudadano. ¿A quién crees que iban a creer?"
Sir! What is your business here?,¡Señora! ¿Qué hace aquí?
"Sir, [cough] can you help a poor man down on his luck?","Señora, [cof] ¿puede ayudar a un pobre hombre con mala suerte?"
"Sir, this is your final warning. I have to ask you to leave this area.","Señora, este es el último aviso. Tengo que pedir que abandone esta zona."
"Sir, yes, sir!","¡Señora, sí señora!"
Sir.,Señora.
"Sir. It's good to see you, sir.","Señora. Me alegra verla, señora."
"Sir... yes, sir... goodbye, sir.","Señora... sí, señora... adiós, señora."
"Sister, I don't know NOTHING about your car. ","Hermana, no sé NADA sobre tu coche. "
Sit-Zen?,¿Ci-Ciu-dana?
Skag!,¡Colgada!
Skilled,Habilidosa
Slayer,Asesina
Sloppy...,Chapucera...
Slow...,Lenta...
"Slumming, Citizen?","¿Visitando los barrios bajos, Ciudadana?"
Small Frame,Canija
"Smart as whip! You remind me of myself when I was young. Simple... some wild dogs have been
 coming down out of the hills lately looking for food. I think they find brahmin easy prey and have been
 attacking my herds nightly. Wipe out their pack, and I'll give you $1000.","¡Muy lista! Me recuerdas a mí cuando era joven. Es simple... últimamente, algunos perros salvajes han estado bajando de las colinas buscando comida. Creo que han descubierto que los brahmines son presa fácil y han estado atacando al ganado por la noche. Deshazte de su manada, y te daré 1.000 dólares."
Smooth Talker,Charlatana
Sniper,Francotiradora
So be it. Zomak! Kill this fool for me. But be careful with the Cheezy Poofs!,Que así sea. ¡Zomak! ¡Mata a esta idiota por mí! ¡Pero ten cuidado con las bolitas de queso!
"So good of you, my dear fellow. [He takes your hand and walks you to the garden.] Wouldn't want
 you to get lost. Come back and see me when you finish killing the pests.","Bien por ti, querida amiga. [Te toma de la mano y te lleva hasta el jardín]. No quisiera que te perdieras. Vuelve a verme cuando hayas acabado con la plaga."
"So how about you and me doing a film? I'll treat you right, chica. I show you what a Latin lover can do.","Entonces, ¿cuándo vamos a hacer tú y yo una película? Te trataré bien, chica. Te demostraré lo que puede hacer un latin lover."
"So man, you want my protection?","Entonces, amiga, ¿quieres mi protección?"
"So there you are, Chosen One. Hmmmph! How goes your quest?","Así que estás aquí, Elegida. ¡Hmmmph! ¿Cómo va la búsqueda?"
So what do I do now that I'm an Hubologist?,"Entonces, ¿qué voy a hacer ahora que soy una Hubologista?"
"So you lookin' to celebrate with some Jet, hero? You came to the right place. For you, EVERYTHING'S on special.","¿Así que estás buscando celebrarlo con algo de Jet, heroína? Has venido al lugar preciso. Para ti, TODO está a precio de ocasión."
"So you lookin' to party with some Jet, friend? You came to the right place. For you, EVERYTHING'S on special.","¿Así que quieres montarte una fiestecita con algo de Jet, amiga? Has venido al lugar preciso. Para ti, TODO está a precio de ocasión."
"So you still choose to be an ass. (Gordon motions toward the Deathclaw guard) Guard, please take
 out the trash.","Así que sigues eligiendo ser una tonta. (Gordon se dirige al guardia Garra mortal). Guardia, por favor saca la basura."
"So you think you're tough? I'm gonna wipe your ass all over the floor. Bare fists, right here, right now.","¿Así que te crees muy dura? Voy a fregar el suelo con tu culo. Prepara tus puños, aquí y ahora."
"So you're the new guy, eh?","Así que tú eres la chica nueva, ¿eh?"
"So, changed your mind? Ready to prove your worth?",¿Así que has cambiado de opinión? ¿Lista para demostrar tu valía?
"So, child. Once again you stand before me. Are you empty-handed yet again?","Bien, chiquilla. De nuevo estás ante mí. ¿Otra vez con las manos vacías?"
"So, friend, have you reconsidered?","Así que, amiga, ¿lo has reconsiderado?"
"So, here you are at last. The savior of the downtrodden, the righter of wrongs, the icon of
 hope for humanity. What a dumb-ass! Well, before you start any boring speeches, I'd just like to say
 that I'm not fucking interested. Let's just cut to the chase and get this over with. Baddog, kill!","Así que aquí estás por fin. La redentora de los oprimidos, desfacedora de entuertos, símbolo de esperanza de la humanidad. ¡Menudo idiota! Bueno, antes de que empieces uno de tus aburridos sermones, me gustaría decirte que me la suda lo que digas. Dejémonos de tonterías y acabemos con esto. ¡Perro malo, mata!"
"So, that it, stranger?","¿Y entonces qué, forastera?"
"So, you're a coward too? Figures.","Así que, ¿tú también eres una cobarde? Ya me lo figuraba."
"So, you're my next organ donor huh?","Así que, ¿eres mi nueva donante de órganos?"
So... you're Citizen ,Así que... eres la Ciudadana 
Solar plexus... eegad that hurts!,Mi plexo solar... ¡eso sí que duele!
"Somebody done smashed up my still! And you're the only person I told about it. Why, if I were
 a younger feller, more full of piss and vinegar, I'd have a mind to teach you a lesson. Just get out of
 my sight, you double-crosser!","¡Alguien me ha destrozado el alambique! Y eres la única persona a la que se lo había contado. Si fuera más joven, y tuviera la energía de antes, te enseñaría una buena lección. ¡Sal de mi vista, traidora!"
"Someone new. Hey, this is a private matter! Let's get 'em!","Alguien nuevo. ¡Eh, ésta es una cuestión privada! ¡Vamos a por ella!"
Something I can help you with...Outsider?,¿Puedo ayudarte en algo... forastera?
Son of a pig! Die!,¡Hija de una cerda! ¡Muere!
"Son, I can tell from the smell that you're not wearin' one of them powered armor suits.
 If the Sarge sees you out of uniform you're screwed. And I ain't talking the type of screwing that feels good. Now get your ass down to supply and suit up.","Hija, puedo decirte por el olor que no estás llevando una de esas servoarmaduras. Como el Sargento te pille estás jodido. Y no hablo de la jodienda que da gustito. Ve cagando leches a intendencia y vístete."
Sorry Boss.,"Lo siento, Jefa."
Sorry stranger. I don't have time to chat with you.,"Lo siento, forastera. No tengo tiempo de charlar contigo."
"Sorry, I'll try to be more civil.","Lo siento, intentaré ser más civilizada."
"Sorry, Torr. I'm too busy to stand around with a bunch of brahmin, whether they've got two legs
 or four.","Lo siento, Torr. Estoy muy ocupada para quedarme aquí con un montón de brahmines, tengan dos o cuatro patas."
"Sorry, fren.","Lo siento, miga."
"Sorry, friend, I can't take much more of this...","Lo siento, amiga, no puedo resistir más..."
"Sorry, pal, we've already got enough throwbacks working in this caravan.","Lo siento, amiga, ya hemos tenido suficientes malas experiencias trabajando en esta caravana."
"Sorry, stranger. I don't have time to chat with you.","Lo siento, forastera. Ahora no tengo tiempo para hablar contigo."
Speaker,Oradora
"Spirits want out of skull, oh mahn de skull hurt!","¡Espíritus quieren salir de calavera, oh miga, calavera duele!"
"Spreading out, Boss.","Distanciándonos, Jefa."
Stand still and I'll get this over real quick for you.,Quédate quieta y esto acabará enseguida.
"Standing back, Boss.","Me quedo atrás, Jefa."
Star Father! Save me from the heathen!,¡Padre Estelar! ¡Líbrame de la pagana!
Stay outta that man's path.,No te interpongas en el camino de esa mujer.
"Step back, outsider.","Un paso atrás, extranjera."
Step slowly away from that. Make a move for your weapons and you're dead.,Aléjate de eso muy despacio. Amaga con alcanzar tus armas y estás muerta.
"Stop right there, friend. No one is allowed past this point without proper authorization.","Quédate justo ahí, amiga. No se permite el paso más allá de este punto a nadie que no tenga una autorización adecuada."
Stranger!,¡Una extraña!
"Stranger, NCR's got laws and one of them's ""No weapons.""  Put it away and there'll be no trouble.","Extranjera, la RNC tiene leyes y una de ellas es ""Sin armas"".  Guárdalas y no tendremos problemas."
"Stranger, we got a no weapon policy in this town. Put your weapon away.","Forastera, tenemos un política de no armamento en esta ciudad. Guarda tu arma."
"Stripling, you have a lot to learn about respect.","Jovencita, tienes mucho que aprender sobre el respeto."
Strong Back,Mula
Sucker.,Zorra.
"Suffer, foe!","¡Sufre, enemiga!"
"Suffer, human!","¡Sufre, humana!"
"Sure is. I was interested in something else, though...",Seguro que lo es. Pero estaba interesada en alguna otra cosa...
"Sure thing, Boss.","Claro que sí, Jefa."
"Sure thing, Chief!","¡Claro, Jefa!"
"Sure you are. I'd just be careful who you say that to, ""Citizen."" Somebody's gonna recognize whatever stolen papers you bought from that bloodsucker Skeev. So keep your head down, all right?","Claro que lo eres. Yo tendría cuidado de a quién le dices eso, ""Ciudadana"". Alguien podría reconocer esos documentos robados que has conseguido de ese chupasangres de Skeev. Así que mantén la cabeza baja, ¿de acuerdo?"
"Sure, Boss.","Claro, Jefa."
"Sure, Boss. Anything else?","Claro, Jefa. ¿Algo más?"
"Sure, Boss. I'll take some.","Claro, Jefa. Me tomaré algunas."
"Sure, dude, take it all.","Claro, amiga, quédatelo todo."
"Sure, handsome.","Claro, guapa."
"Sure, stranger, what do you want to know?","Desde luego, forastera, ¿qué quieres saber?"
Sure. Why the hell not? You look like you know how to take care of yourself in a fight.,Claro. ¿Por qué no? Tienes pinta de saber cuidar de ti misma en una pelea.
"Surely you remember it is to the northeast, foolish one.","Seguramente recuerdes que está al nordeste, necia."
Surprised? I told you that I know all about atomic power plants. You shoulda listened to me.,¿Sorprendida? Ya te dije que lo sé todo sobre centrales nucleares. Deberías haberme escuchado.
"Take a hike, Citizen.","Vete a tomar viento, Ciudadana."
"Take a word of advice from Sheriff Dumont, stranger - this town don't care for your kind. Any trouble and I come down hard. Now, is there anything I can do for you?","Un consejo del sheriff Dumont, forastera: a esta ciudad no le importa los de tu clase. Cualquier problema, y te pondrá las cosas difíciles. Y ahora, ¿hay algo que pueda hacer por ti?"
Take that!,¡Toma eso!
"Take the pain, motherfucker!","¡Aguanta el dolor, hija de puta!"
"Talk to Felix if you're looking for a job, stranger.","Habla con Felix si estás buscando trabajo, extranjera."
"Talk to Metzger, not me, buddy.","Habla con Metzger, no conmigo, amiga."
"Talk to the Duntons or the barman for work, pal.","Habla con los Dunton o con el camarero si buscas trabajo, amiga."
"Talk?! TALK?! What in HELL do we have to talk about, you goddamned thief!","¡¿Hablar?! ¡¿HABLA?! ¡¿De qué COJONES tenemos que hablar, jodida ladrona?!"
"Tarnation, it's a good and honest name, is what it is! The boys let me do some cooking around here and if you weren't such a tinhorn you'd know that and know to respect yer elders.","¡Maldita sea, es un hombre bueno y honesto, eso es lo que es! Los chicos me dejan cocinar aquí y si no fueras una cabeza de chorlito lo sabrías y sabrías respetar a tus mayores."
Tasty!,¡Sabrosa!
Teach you? I don't think so. You look far too self-righteous. Get out of here.,¿Enseñarte? No lo creo. Pareces demasiado mojigata. Lárgate de aquí.
"Teeth, master. The shiny white things installed in my mouth.","Dientes, ama. Los brillantes y blancos dientes instalados en mi boca."
"Tell yer mutant master my name's Lenny, slave.","Dile a tu amo mutante que mi nombre es Lenny, esclava."
"Testify, brother! Speak the word!","¡Testifica, hermana! ¡Difunde la palabra!"
"Thank the ancestors. Now my soul may join the eternal song. Safe journey, Chosen.","Gracias a los ancestros. Ahora mi alma podrá unirse a la eterna canción. Ten cuidado en tu viaje, Elegida."
"Thank you again, my friend. I owe you a debt that can not be repaid.","Gracias, amiga. Tengo una deuda contigo que nunca podré compensarte."
Thank you for helping us. You will always be welcome here.,Gracias por ayudarnos. Siempre serás bienvenida aquí.
"Thank you for helping us. You will always be welcome here. For your services, I offer this as a
 reward. [Vegeir hands you an assault rifle.]","Gracias por ayudarnos. Siempre serás bienvenida aquí. Por tus servicios, te ofrezco esto como recompensa. [Vegeir te da un rifle de asalto]."
"Thank you for the vertibird plans, traveler. What can I do for you?","Gracias por los planos del vertibird, viajera. ¿Qué puedo hacer por ti?"
"Thank you for your assistance, Outsider.","Gracias por tu ayuda, forastera."
"Thank you. The machine is in the vault control center on the third level. If you can repair it,
 please do so. I am placing my trust in you. Please do not betray it. You are welcome here.","Gracias. La máquina está en el centro de mando del Refugio, en el tercer nivel. Si puedes repararla, por favor, hazlo. Estoy depositando mi confianza en ti. Por favor no la traiciones. Eres bienvenida aquí."
"Thank you. Vault City prevails, Citizen.","Gracias. Ciudad Refugio prevalece, Ciudadana."
"Thank-you. I'm sure Sulik will be grateful for your forgiving his debt to you. I'll talk to
 Maida right away. Goodbye.",Gracias. Estoy segura de que Sulik le agradecerá que cancele su deuda. Hablaré con Maida sobre ello. Adiós.
"Thanks again for getting me out of this place, Boss.","Gracias de nuevo por sacarme de este lugar, Jefa."
"Thanks fer savin us, ","Gracias por salvarnos, "
"Thanks for fixing our atomic power plant. The next step in old Gordon of Gecko's plan is working
 nicely. Greed is a wonderful thing. You should be proud to be a part of this.",Gracias por reparar nuestra central nuclear. El plan del viejo Gordon de Gecko está yendo de maravilla. La codicia es una cosa maravillosa. Deberías estar orgullosa de formar parte de esto.
"Thanks for looking out for me, friend. Stark's one stubborn sonuvabitch.","Gracias por cuidar de mí, amiga. Stark es un obstinado hijoputa."
"Thanks for saving me, mister.","Gracias por salvarme, señora."
"Thanks for stopping by. Vault City prevails, Citizen.","Gracias por pasarte por aquí. Ciudad Refugio prevalece, Ciudadana."
"Thanks for the drink, partner. Now that my whistle's wet, I feel that I can share a little
 problem I have. Hey -- maybe you can help me out?","Gracias, compañera. Ahora que me he tomado la copa, siento que puedo compartir contigo un pequeño problemilla que tengo. Oye... ¿quizá tú pudieras ayudarme?"
"Thanks for the help, stranger. Much appreciated.","Gracias por la ayuda, forastera. Te lo agradezco mucho."
"Thanks for the information, friend. I'll make sure it's put to good use. (smiles) Here's your
 $50 and a piss on the house, too. Anything else I can help you with?","Gracias por la información, amiga. Me aseguraré de que se use bien (sonríe). Aquí están los 50 dólares y una copa a cuenta de la casa. ¿Hay algo más con lo que pueda ayudarte?"
"Thanks for the information, friend. The town council, um, voted, to shut down Whiskey Bob's
 still. He won't be poisoning anyone else for a while. (sincere looking smile)","Gracias por la información, amiga. El ayuntamiento, um.... votó cerrar el alambique de Whisky Bob. No podrá envenenar a nadie más en una buena temporada. (sonríe con aparente sinceridad)."
"Thanks for the money, friend. (urp) I'm going to use it to get some (hic) medicine for my dry
 throat. Consider yourself officially (hic) greeted to the town of Klamath. Do you have any questions
 about our fair (urp) metropolis?","Gracias por el dinero, amiga (urp). Voy a ver si puedo conseguir algo (hic) de medicina para mi garganta seca. Considérate oficialmente bienvenida (hic) al pueblo de Klamath. ¿Tienes alguna pregunta acerca de nuestra decente (urp) metrópolis?"
"Thanks, Boss.","Gracias, Jefa."
"Thanks, but I think I can handle myself just fine.","Gracias, pero creo que puedo cuidarme sola."
"Thanks, friend.","Gracias, amiga."
"Thanks, friend. I...whoa. Now my vision's getting all cloudy.","Gracias, amiga. Yo... hey. Empiezo a ver borroso."
"Thanks, stranger.","Gracias, forastera."
"Thanks, stranger. I appreciate your help... I couldn't afford the Autodoc.","Gracias, forastera. Agradezco tu ayuda... no podía permitirme el Autodoc."
"That be a good thing, fren.","Eso ser una buena cosa, miga."
That mutant is one big mutha.,Ese mutante es un hijoputa de los grandes.
"That was Hoss, President's Tandi's son. Boy, you sure whooped his ass good!","Era Hoss, el hijo de la presidente Tandi. ¡Muchacha, seguro que te encandila su trasero!"
"That was mighty darn kind of you. Thanks mucho, compadre. Here's a little something for your trouble. It'll come in handy 'round these parts. (He hands you a Stimpack.)","Eso ha sido muy amable de tu parte. Muchas gracias, señorita. Aquí tienes algo por las molestias. Te vendrá bien para hacerte un arreglo. (Te da un estimulante)."
That was nice. You seem like you know your way around a woman better than most men your age.,Ha estado bien. Parece que te manejas mejor con las mujeres que la mayoría de mujeres de tu edad.
That woman you got with you shore is pretty.,Esa mujer que tienes al lado es bonita.
That'll be a cool scar!,¡Esa será una bonita cicatriz!
"That's Officer Jack, stranger. One of our men. You haven't been talking to Mira, have you?","Ese es el Oficial Jack, forastera. Uno de nuestros hombres. No has estado hablando con Mira, ¿verdad?"
"That's a damn fine piece of work you did with old Jack, stranger. As the sheriff, I'll take if from here.","Hiciste un maldito buen trabajo con el viejo Jack, forastera. Como sheriff, seguiré con el tema desde ahora."
"That's a fine transport, man, truly fine! Oh man, I am the one for you - watch your car, keep it safe from the bedbugs. Five bucks, no problem. Five bucks and Doofus is on the job! Never sleep - 24 hour, always there, man.","¡Bonito vehículo, amiga, realmente bonito! Oh, amiga, soy tu hombre: vigilo tu coche, lo preservo de chinches. Cinco pavos, y no hay problema. ¡Cinco pavos y Doofus se pone a ello! No duermo en 24 horas, siempre estoy ahí, amiga."
"That's a right fine name, yep. Say, you wouldn't have a drink on ya, pardner?","Ese es un nombre muy bueno, sí. Esto, ¿no tendrás una bebida encima, colega?"
"That's because they're trying to fool you, friend. They're trying to fool you.","Eso es debido a que intentan engañarte, amiga. Están intentando engañarte."
"That's it! Citizen or not, you're out of here. Guards, show this degenerate to the gates!","¡Se acabó! Ciudadana o no, te irás de aquí. ¡Guardias, mostradle la salida a esta degenerada!"
That's it. I've had enough of your mouth. One last chance: Go quietly or I'll tear you apart.,Ya está. Ya has dicho bastante. Última oportunidad: vete sin hacer ruido o te haré trizas.
That's it. Zomak! Kill him for me!,Suficiente. ¡Zomak! ¡Mátala por mí!
"That's just the first part. Now that you're one of us, want to play a game?","Esto es sólo el principio. Ahora que eres una de nosotros, ¿quieres echar una partida?"
"That's nice stranger, but I ain't no charity.","Esto está bien, forastera, pero no me dedico a la caridad."
"That's right, man. Go see Merk. He's always got things that need doing.","Eso está bien, amiga. Ve a ver a Merk. Siempre tiene cosas que hay que hacer."
"That, my child, you will have to discover on your own. Ask around and you shall find the truth.","Eso, hija mía, tendrás que descubrirlo tú misma. Pregunta y encontrarás la verdad."
"The 1st Citizen? Excellent, this is what I've been waiting for. Are you a Vault Citizen?","¿La Primer Ciudadano? Excelente, esto es lo que estaba esperando. ¿Eres una Ciudadana?"
"The Chosen One has come, and he will rid the world of your evil.","La Elegida ha llegado, y ella librará al mundo de tu maldad."
The Chosen One will never return to Arroyo!,¡La Elegida nunca volverá a Arroyo!
The Chosen One!,¡La Elegida!
The Chosen One. Oh mighty ,"La Elegida. Oh, gran "
"The Chosen One? Of course, that makes sense.  Interesting... I'm afraid I can't help you. I was assigned to cyber-genetics research, not the Vault Behavioral Project.","¿La Elegida? Por supuesto, eso tiene sentido. Interesante... me temo que no puedo ayudarte. Fui asignado a investigación ciber-genética, no al Proyecto de Comportamiento de Refugio."
"The Corsican Brothers at yer service... (Glances up, irritated, then does a double take.) YOU'RE the new fluffer?",Los Hermanos Corsican a tu servicio… (te mira irritado y entonces hace un gesto de sorpresa). ¿ERES la nueva entonadora?
"The Corsican Brothers at yer service... (Glances up, irritated.) You the new fluffer?","Los Hermanos Corsican a tu servicio… (te mira, irritado). ¿Eres la nueva entonadora?"
"The Corsican Brothers at yer service... (The man glances up, smiles.) Hey, welcome back, ","Los Hermanos Corsican a tu servicio… (El hombre te contempla y sonríe). ¡Vaya, bienvenida de nuevo, "
The Elder was wrong. You are evil.,La Anciana se equivocó. Eres malvada.
"The Emperor remains hidden from prying eyes. It is my job to act as the Emperor's screen. However, you have proven yourself to be a friend to the Shi. I believe I can trust you with our secrets. In the back room, you will find the forcefield to the large computer has been turned off. Enter the password ""CSPDMSHR-Shih-huang-ti-X9372"" and you will find yourself connected to the Emperor Computer. I hope this will prove useful to you.","El Emperador permanece oculto a los ojos indiscretos. Es mi trabajo actuar como la pantalla del Emperador. Sin embargo, has demostrado ser una amiga de los Shi. Creo que te puedo confiar nuestros secretos. En la estancia de atrás comprobarás que el campo de fuerza que bloquea el acceso a la computadora principal está desconectado. Introduce la contraseña ""CSPDMSHR-Shih-huang-ti-X9372"" y estarás conectado a la Computadora Emperador. Espero que te resulte útil."
